_also_see	56	5072.96	67.86	67.86	0.679	5072.82	67.86	67.86	0.679
_derivationally_related_form	1074	1154.84	94.13	94.13	0.941	1154.78	94.13	94.13	0.941
_has_part	172	1347.72	93.6	92.73	0.932	1347.47	93.6	93.6	0.936
_hypernym	1251	1034.14	95.04	94.72	0.949	1033.63	95.04	95.04	0.95
_hyponym	1153	1117.94	94.62	93.97	0.943	1117.3	94.62	94.62	0.946
_instance_hypernym	122	929.28	95.08	81.56	0.869	927.11	95.08	94.67	0.949
_instance_hyponym	108	1568.69	94.44	82.87	0.871	1566.08	94.44	93.98	0.942
_member_holonym	278	1348.81	93.53	93.53	0.935	1348.67	93.53	93.53	0.935
_member_meronym	253	1766.85	92.09	92.09	0.921	1766.48	92.09	92.09	0.921
_member_of_domain_region	26	2316.08	88.46	59.62	0.74	2308.5	88.46	88.46	0.885
_member_of_domain_topic	111	1520.41	92.79	91.44	0.921	1518.41	92.79	92.79	0.928
_member_of_domain_usage	24	653.31	91.67	60.42	0.714	652.44	91.67	91.67	0.917
_part_of	165	1173.14	93.94	93.33	0.936	1173.04	93.94	93.94	0.939
_similar_to	3	1.0	100.0	100.0	1.0	1.0	100.0	100.0	1.0
_synset_domain_region_of	37	2166.91	91.89	68.92	0.804	2155.22	91.89	91.89	0.919
_synset_domain_topic_of	114	1754.79	92.98	91.23	0.92	1753.57	92.98	92.11	0.925
_synset_domain_usage_of	14	2.36	100.0	53.57	0.682	1.0	100.0	100.0	1.0
_verb_group	39	489.28	97.44	97.44	0.974	489.27	97.44	97.44	0.974
