_also_see	56	6686.18	67.86	67.86	0.679	6685.94	67.86	67.86	0.679
_derivationally_related_form	1074	1326.33	94.13	94.13	0.941	1326.27	94.13	94.13	0.941
_has_part	172	19669.32	0.0	0.0	0.0	19667.4	0.0	0.0	0.0
_hypernym	1251	20703.51	0.08	0.08	0.001	20694.16	0.08	0.08	0.001
_instance_hypernym	122	16885.41	14.75	14.75	0.148	16860.43	14.75	14.75	0.148
_member_meronym	253	19728.67	1.98	1.98	0.02	19726.54	1.98	1.98	0.02
_member_of_domain_region	26	20152.17	3.85	3.85	0.039	20086.35	3.85	3.85	0.039
_member_of_domain_usage	24	18553.48	0.0	0.0	0.0	18525.48	0.0	0.0	0.0
_similar_to	3	1.0	100.0	100.0	1.0	1.0	100.0	100.0	1.0
_synset_domain_topic_of	114	20549.89	1.75	1.75	0.018	20525.67	1.75	1.75	0.018
_verb_group	39	876.82	97.44	97.44	0.974	876.81	97.44	97.44	0.974
