_also_see	56	337778	38	38	38.0016570675	337774	38	38	38.0016570759
_derivationally_related_form	1074	1173587	1011	1011	1011.01091467	1173524	1011	1011	1011.01091624
_has_part	172	248648	161	158	159.50145341	248643	161	161	161.001453412
_hypernym	1251	1334700	1189	1181	1185.00994042	1333447	1189	1189	1189.00994471
_hyponym	1153	1326010	1091	1091	1091.00864136	1326007	1091	1091	1091.00864136
_instance_hypernym	122	101862	116	96	102.617164287	101347	116	115	115.50050059
_instance_hyponym	108	196578	102	96	99.0001990967	196570	102	102	102.000199098
_member_holonym	278	373883	260	260	260.002574924	373806	260	260	260.002576318
_member_meronym	253	304841	233	233	233.001938421	304841	233	233	233.001938421
_member_of_domain_region	26	87576	23	20	21.5001091815	87573	23	23	23.0001091815
_member_of_domain_topic	111	149696	103	100	101.50132281	149693	103	103	103.00132281
_member_of_domain_usage	24	12963	22	20	21.0039398682	12961	22	22	22.0039398682
_part_of	165	176797	155	155	155.001289206	176769	155	155	155.001289317
_similar_to	3	3	3	3	3.0	3	3	3	3.0
_synset_domain_region_of	37	74091	34	19	26.5002970294	73228	34	34	34.0002997322
_synset_domain_topic_of	114	212186	106	104	104.841842893	211912	106	104	105.008509927
_synset_domain_usage_of	14	50	14	3	6.08333333333	14	14	14	14.0
_verb_group	39	36741	38	38	38.0000272457	36740	38	38	38.0000272465
