_also_see	56	230394	38	38	38.0039175267	230382	38	38	38.003917633
_derivationally_related_form	1074	1307003	1011	1011	1011.01009415	1306944	1011	1011	1011.01009436
_has_part	172	214969	161	161	161.000690743	214887	161	161	161.000691
_hypernym	1251	1252708	1189	1189	1189.02061371	1252704	1189	1189	1189.02061371
_hyponym	1153	1251960	1091	1076	1083.50919802	1250488	1091	1091	1091.00920108
_instance_hypernym	122	124883	116	103	109.333764996	124867	116	116	116.000431664
_instance_hyponym	108	142260	102	83	89.1670058568	141704	102	101	101.500339831
_member_holonym	278	376054	260	260	260.001515334	376054	260	260	260.001515334
_member_meronym	253	589183	233	233	233.001000255	588997	233	233	233.001000434
_member_of_domain_region	26	32860	23	11	17.0021050075	32469	23	23	23.002125732
_member_of_domain_topic	111	187836	103	103	103.001313456	187393	103	103	103.001321092
_member_of_domain_usage	24	18396	22	9	13.2502680595	18356	22	22	22.0002681349
_part_of	165	210338	155	153	154.000707102	210335	155	155	155.000707104
_similar_to	3	3	3	3	3.0	3	3	3	3.0
_synset_domain_region_of	37	86260	34	32	33.0001075702	86258	34	34	34.0001075702
_synset_domain_topic_of	114	187905	106	104	105.002911577	187901	106	106	106.00291158
_synset_domain_usage_of	14	16	14	12	13.0	14	14	14	14.0
_verb_group	39	1423	38	38	38.0007220217	1423	38	38	38.0007220217
