Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/award/award_category/category_of	20	1402.95	37.5	37.5	0.385	1387.55	75.0	52.5	0.575
/award/award_category/disciplines_or_subjects	15	1361.13	43.33	10.0	0.223	1353.0	73.33	43.33	0.54
/award/award_category/nominees./award/award_nomination/nominated_for	858	1792.9	20.05	1.92	0.077	1783.87	30.19	3.9	0.121
/award/award_category/winners./award/award_honor/award_winner	214	2946.39	35.05	3.04	0.114	2943.85	38.55	4.91	0.151
/award/award_category/winners./award/award_honor/ceremony	323	313.39	80.19	13.93	0.331	309.37	95.67	61.61	0.736
/award/award_ceremony/awards_presented./award/award_honor/award_winner	317	2142.88	55.36	21.45	0.317	2140.76	59.78	25.39	0.355
/award/award_ceremony/awards_presented./award/award_honor/honored_for	121	1902.77	61.16	19.83	0.31	1901.31	64.46	25.62	0.372
/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	16	630.63	78.13	6.25	0.263	627.31	93.75	21.88	0.505
/award/award_nominee/award_nominations./award/award_nomination/award	1067	2207.6	25.49	2.16	0.089	2199.8	32.29	4.55	0.126
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	214	259.27	37.38	0.0	0.095	254.44	50.47	2.8	0.169
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	132	3497.05	23.11	1.14	0.073	3493.81	29.55	3.03	0.107
/award/award_winner/awards_won./award/award_honor/award_winner	41	1017.04	42.68	0.0	0.096	1013.27	67.07	4.88	0.204
/award/award_winning_work/awards_won./award/award_honor/award	118	2111.64	47.03	3.81	0.131	2109.92	51.69	4.66	0.159
/award/award_winning_work/awards_won./award/award_honor/award_winner	24	3561.96	52.08	10.42	0.197	3560.63	54.17	14.58	0.246
/award/award_winning_work/awards_won./award/award_honor/honored_for	10	10.95	40.0	0.0	0.124	3.1	95.0	25.0	0.518
/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee	26	773.85	48.08	42.31	0.446	757.23	51.92	44.23	0.469
/award/ranked_item/appears_in_ranked_lists./award/ranking/list	48	42.89	53.13	39.58	0.461	26.85	67.71	47.92	0.548
/base/aareas/schema/administrative_area/administrative_area_type	20	60.5	50.0	50.0	0.504	6.13	77.5	52.5	0.627
/base/aareas/schema/administrative_area/administrative_parent	25	1056.48	46.0	42.0	0.434	1003.56	70.0	42.0	0.479
/base/americancomedy/celebrity_impressionist/celebrities_impersonated	8	1309.56	43.75	25.0	0.329	1296.19	43.75	31.25	0.363
/base/biblioness/bibs_location/country	14	599.89	53.57	39.29	0.435	567.25	57.14	39.29	0.445
/base/biblioness/bibs_location/state	7	14.14	64.29	42.86	0.507	9.0	78.57	50.0	0.564
/base/culturalevent/event/entity_involved	20	5140.55	22.5	5.0	0.091	5139.13	22.5	10.0	0.127
/base/eating/practicer_of_diet/diet	11	232.05	50.0	22.73	0.366	215.77	50.0	31.82	0.412
/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months	3	6.33	100.0	0.0	0.188	2.0	100.0	33.33	0.611
/base/locations/continents/countries_within	5	22.6	50.0	50.0	0.512	7.4	90.0	50.0	0.625
/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team	41	11.38	48.78	0.0	0.124	3.61	96.34	30.49	0.501
/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed	21	17.02	50.0	0.0	0.177	1.86	100.0	54.76	0.722
/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant	1	7654.5	0.0	0.0	0.0	7654.5	0.0	0.0	0.0
/base/popstra/celebrity/dated./base/popstra/dated/participant	11	6869.45	0.0	0.0	0.001	6868.18	0.0	0.0	0.001
/base/popstra/celebrity/friendship./base/popstra/friendship/participant	32	6127.97	6.25	1.56	0.031	6126.67	7.81	1.56	0.041
/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	31	3696.5	25.81	1.61	0.091	3693.63	25.81	3.23	0.111
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members	3	9.83	83.33	0.0	0.102	2.83	100.0	0.0	0.375
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category	20	36.63	52.5	27.5	0.4	18.23	70.0	57.5	0.609
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language	21	565.83	54.76	33.33	0.403	546.31	90.48	73.81	0.79
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location	38	3176.13	31.58	9.21	0.168	3166.24	39.47	22.37	0.281
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency	60	357.79	50.0	49.17	0.497	247.97	50.0	49.17	0.499
/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club	29	4949.4	27.59	1.72	0.09	4947.67	27.59	5.17	0.11
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season	27	213.85	51.85	0.0	0.149	203.91	96.3	75.93	0.843
/broadcast/content/artist	14	65.29	60.71	50.0	0.525	53.93	71.43	60.71	0.66
/business/business_operation/industry	40	1661.9	61.25	21.25	0.307	1659.28	65.0	25.0	0.371
/business/business_operation/revenue./measurement_unit/dated_money_value/currency	1	29.0	50.0	50.0	0.509	1.0	100.0	100.0	1.0
/business/job_title/people_with_this_title./business/employment_tenure/company	84	1731.32	45.83	4.17	0.156	1723.15	57.14	14.29	0.285
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend	1	7663.0	0.0	0.0	0.0	7661.5	0.0	0.0	0.0
/common/topic/webpage./common/webpage/category	394	978.06	46.45	46.45	0.465	645.39	47.97	47.08	0.477
/dataworld/gardening_hint/split_to	10	4307.2	20.0	10.0	0.129	4307.2	20.0	10.0	0.129
/education/educational_degree/people_with_this_degree./education/education/institution	287	262.16	44.43	2.26	0.129	232.72	61.5	26.31	0.387
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	63	23.32	49.21	2.38	0.136	6.84	84.92	25.4	0.427
/education/educational_degree/people_with_this_degree./education/education/student	27	87.65	53.7	22.22	0.322	78.35	55.56	24.07	0.348
/education/educational_institution/campuses	13	1.04	100.0	96.15	0.981	1.04	100.0	96.15	0.981
/education/educational_institution/colors	90	2108.13	38.89	2.22	0.142	2096.15	42.78	12.78	0.233
/education/educational_institution/school_type	80	1176.31	43.13	14.37	0.248	1157.21	50.0	19.38	0.309
/education/educational_institution/students_graduates./education/education/major_field_of_study	321	1215.51	23.52	0.62	0.079	1204.51	52.65	12.46	0.25
/education/educational_institution/students_graduates./education/education/student	311	7088.61	1.29	0.48	0.008	7085.42	1.29	0.96	0.012
/education/educational_institution_campus/educational_institution	13	1.12	100.0	88.46	0.942	1.12	100.0	88.46	0.942
/education/field_of_study/students_majoring./education/education/major_field_of_study	11	863.5	45.45	0.0	0.124	857.41	59.09	13.64	0.313
/education/field_of_study/students_majoring./education/education/student	34	4547.75	22.06	4.41	0.101	4546.63	22.06	7.35	0.123
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency	5	79.8	50.0	30.0	0.406	51.5	50.0	30.0	0.412
/education/university/fraternities_and_sororities	21	67.79	50.0	26.19	0.383	45.88	59.52	42.86	0.491
/education/university/local_tuition./measurement_unit/dated_money_value/currency	1	167.0	50.0	50.0	0.502	128.0	50.0	50.0	0.502
/film/actor/dubbing_performances./film/dubbing_performance/language	12	200.46	50.0	50.0	0.504	172.29	58.33	50.0	0.52
/film/actor/film./film/performance/film	836	6386.25	10.83	3.53	0.059	6382.49	11.12	5.86	0.077
/film/actor/film./film/performance/special_performance_type	16	192.94	53.13	46.88	0.485	171.72	53.13	50.0	0.52
/film/director/film	19	5622.21	34.21	23.68	0.261	5620.71	36.84	23.68	0.293
/film/film/cinematography	17	4450.41	23.53	14.71	0.18	4448.65	29.41	17.65	0.202
/film/film/costume_design_by	13	2220.15	42.31	30.77	0.346	2215.73	53.85	30.77	0.364
/film/film/country	131	1257.79	43.13	19.47	0.279	1217.81	46.18	25.57	0.331
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium	38	102.11	48.68	27.63	0.375	84.22	77.63	38.16	0.531
/film/film/distributors./film/film_film_distributor_relationship/region	10	30.65	50.0	50.0	0.509	3.8	100.0	55.0	0.616
/film/film/dubbing_performances./film/dubbing_performance/actor	8	2806.0	43.75	6.25	0.202	2803.63	43.75	25.0	0.341
/film/film/edited_by	13	1165.73	42.31	19.23	0.244	1161.81	50.0	19.23	0.269
/film/film/estimated_budget./measurement_unit/dated_money_value/currency	151	666.21	48.34	48.34	0.485	372.24	52.32	49.01	0.504
/film/film/executive_produced_by	73	2793.62	50.0	22.6	0.329	2791.07	60.96	29.45	0.398
