Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency	46	212.17	50.0	50.0	0.501	17.86	59.78	50.0	0.541
/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type	22	151.32	50.0	50.0	0.502	61.02	61.36	50.0	0.531
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	91	633.77	20.88	3.85	0.098	629.77	24.73	8.79	0.146
/influence/influence_node/influenced_by	235	59.03	30.64	3.83	0.119	52.83	41.28	7.45	0.179
/organization/organization_member/member_of./organization/organization_membership/organization	96	59.04	50.52	8.33	0.225	21.45	89.58	57.81	0.686
/sports/sports_position/players./sports/sports_team_roster/team	22	126.95	50.0	4.55	0.16	30.09	70.45	29.55	0.414
/location/hud_county_place/county	7	26.36	35.71	14.29	0.203	25.43	35.71	14.29	0.211
/sports/sports_team/roster./american_football/football_roster_position/position	3	25.5	33.33	0.0	0.064	11.83	83.33	0.0	0.31
/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team	41	14.5	29.27	2.44	0.115	4.16	93.9	21.95	0.445
/music/artist/origin	34	554.38	23.53	7.35	0.121	548.29	23.53	7.35	0.129
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician	11	188.41	45.45	40.91	0.427	177.82	54.55	40.91	0.45
/music/artist/track_contributions./music/track_contribution/role	152	83.22	29.61	2.63	0.105	58.91	43.75	10.86	0.208
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office	9	34.94	38.89	11.11	0.201	29.44	55.56	16.67	0.265
/military/military_conflict/combatants./military/military_combatant_group/combatants	34	58.43	39.71	7.35	0.173	51.69	70.59	23.53	0.362
/broadcast/content/artist	14	71.57	57.14	32.14	0.412	55.5	71.43	53.57	0.603
/film/film/production_companies	84	103.75	44.05	2.98	0.169	88.95	55.36	17.26	0.299
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members	3	9.5	66.67	0.0	0.107	2.0	100.0	33.33	0.611
/people/person/spouse_s./people/marriage/type_of_union	346	1380.28	50.0	43.79	0.469	277.33	50.87	47.54	0.494
/film/actor/dubbing_performances./film/dubbing_performance/language	12	340.67	50.0	50.0	0.503	288.88	58.33	54.17	0.553
/film/film/film_production_design_by	10	140.35	50.0	20.0	0.297	136.65	55.0	25.0	0.341
/education/educational_degree/people_with_this_degree./education/education/student	27	233.89	53.7	22.22	0.315	205.59	53.7	24.07	0.343
/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to	13	43.19	46.15	11.54	0.21	39.69	61.54	15.38	0.291
/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program	11	147.64	40.91	36.36	0.398	138.82	50.0	36.36	0.412
/location/country/form_of_government	43	94.02	50.0	15.12	0.295	70.43	66.28	41.86	0.506
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category	20	52.58	50.0	35.0	0.419	22.52	67.5	52.5	0.592
/organization/organization/headquarters./location/mailing_address/citytown	55	231.4	37.27	17.27	0.239	220.69	40.0	17.27	0.248
/organization/organization_founder/organizations_founded	9	205.56	33.33	5.56	0.142	204.89	33.33	5.56	0.156
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season	27	11.5	59.26	5.56	0.189	1.91	98.15	81.48	0.874
/education/educational_institution/colors	90	167.94	36.67	5.0	0.155	127.38	40.0	10.0	0.202
/people/person/sibling_s./people/sibling_relationship/sibling	7	81.57	28.57	0.0	0.111	81.14	28.57	7.14	0.154
/film/director/film	19	255.0	28.95	7.89	0.159	251.95	34.21	10.53	0.191
/people/person/nationality	494	883.64	47.47	35.63	0.404	125.7	54.96	41.09	0.462
/education/educational_institution/students_graduates./education/education/student	311	490.94	19.29	4.5	0.098	481.41	20.42	4.98	0.107
/soccer/football_player/current_team./sports/sports_team_roster/team	9	1421.39	5.56	0.0	0.052	1417.06	16.67	0.0	0.057
/award/award_winner/awards_won./award/award_honor/award_winner	41	33.99	41.46	0.0	0.093	28.17	71.95	2.44	0.226
/business/business_operation/revenue./measurement_unit/dated_money_value/currency	1	123.5	50.0	50.0	0.502	21.5	50.0	50.0	0.512
/user/alexander/philosophy/philosopher/interests	9	14.83	55.56	0.0	0.128	9.94	66.67	5.56	0.246
/music/genre/parent_genre	97	33.31	44.33	7.73	0.179	25.98	56.19	14.43	0.271
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics	8	14.19	43.75	0.0	0.149	3.56	87.5	37.5	0.591
/film/special_film_performance_type/film_performance_type./film/performance/film	11	202.36	50.0	31.82	0.418	189.59	63.64	31.82	0.466
/common/topic/webpage./common/webpage/category	402	2699.54	50.0	50.0	0.5	843.36	51.99	50.25	0.51
/soccer/football_team/current_roster./sports/sports_team_roster/position	12	347.21	50.0	0.0	0.127	70.83	50.0	20.83	0.358
/people/person/places_lived./people/place_lived/location	305	788.08	20.66	4.43	0.098	757.02	21.64	7.38	0.122
/sports/sports_team_location/teams	53	155.1	10.38	1.89	0.053	154.7	10.38	1.89	0.054
