Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
_also_see	56	5343.17	67.86	67.86	0.679	5343.06	67.86	67.86	0.679
_derivationally_related_form	1074	1217.14	94.13	94.13	0.941	1217.08	94.13	94.13	0.941
_has_part	172	20266.21	0.0	0.0	0.0	20264.04	0.0	0.0	0.0
_hypernym	1251	20496.98	0.08	0.08	0.001	20487.29	0.08	0.08	0.001
_instance_hypernym	122	17207.91	14.75	14.75	0.148	17183.15	14.75	14.75	0.148
_member_meronym	253	20939.41	1.98	1.98	0.021	20937.17	1.98	1.98	0.021
_member_of_domain_region	26	20820.98	3.85	3.85	0.039	20747.12	3.85	3.85	0.039
_member_of_domain_usage	24	21000.85	0.0	0.0	0.0	20969.54	0.0	0.0	0.0
_similar_to	3	1.0	100.0	100.0	1.0	1.0	100.0	100.0	1.0
_synset_domain_topic_of	114	19389.69	1.75	1.75	0.018	19368.15	1.75	1.75	0.018
_verb_group	39	282.6	97.44	97.44	0.974	282.59	97.44	97.44	0.974
