Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
_similar_to	3	2.67	100.0	50.0	0.635	2.5	100.0	50.0	0.639
_member_meronym	253	2360.33	14.43	2.77	0.071	2354.72	16.6	3.36	0.084
_derivationally_related_form	1074	197.92	96.18	35.85	0.575	196.54	96.93	85.43	0.904
_member_of_domain_region	26	7992.62	17.31	3.85	0.089	7856.65	17.31	7.69	0.11
_hypernym	1251	6902.11	15.71	6.83	0.099	6883.82	17.07	7.19	0.106
_member_of_domain_usage	24	9471.73	35.42	16.67	0.23	9406.83	35.42	16.67	0.23
_instance_hypernym	122	3880.21	32.79	7.79	0.169	3814.84	33.2	13.52	0.207
_synset_domain_topic_of	114	5570.48	29.39	13.16	0.191	5528.15	29.82	14.91	0.201
_has_part	172	3773.9	17.15	1.45	0.068	3769.72	19.19	3.49	0.089
_also_see	56	2381.23	69.64	16.07	0.336	2380.02	69.64	27.68	0.445
_verb_group	39	16.86	97.44	28.21	0.572	16.59	97.44	32.05	0.613
