Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
_similar_to	3	1.17	100.0	83.33	0.917	1.0	100.0	100.0	1.0
_member_meronym	253	3067.89	28.06	6.32	0.132	3061.94	31.62	7.31	0.15
_derivationally_related_form	1074	447.23	95.9	28.54	0.522	445.5	96.42	94.13	0.949
_member_of_domain_region	26	6976.23	46.15	26.92	0.322	6831.62	46.15	26.92	0.336
_hypernym	1251	9623.46	13.83	3.24	0.066	9604.86	17.11	3.84	0.081
_member_of_domain_usage	24	4877.9	41.67	25.0	0.302	4812.4	43.75	25.0	0.305
_instance_hypernym	122	2174.51	40.98	15.16	0.243	2108.29	49.18	23.36	0.317
_synset_domain_topic_of	114	5285.6	33.77	15.79	0.226	5242.63	39.47	20.18	0.274
_has_part	172	5894.06	21.22	3.2	0.084	5889.44	25.29	7.85	0.13
_also_see	56	3859.7	68.75	16.96	0.371	3858.11	69.64	64.29	0.658
_verb_group	39	34.26	97.44	70.51	0.833	33.92	97.44	97.44	0.974
