_also_see	56	1088.54	66.07	0.0	0.194	1087.26	66.96	0.0	0.247
_derivationally_related_form	1074	118.16	90.46	0.0	0.294	116.74	94.69	0.0	0.386
_has_part	172	1445.07	23.84	0.58	0.069	1440.82	26.45	2.33	0.095
_hypernym	1251	5188.79	16.91	4.4	0.082	5171.32	20.42	5.36	0.099
_instance_hypernym	122	945.16	40.57	11.48	0.211	884.09	47.54	20.9	0.297
_member_meronym	253	697.15	27.08	4.94	0.123	691.64	29.84	6.13	0.143
_member_of_domain_region	26	3120.48	19.23	7.69	0.12	2978.35	19.23	7.69	0.123
_member_of_domain_usage	24	3011.38	39.58	25.0	0.305	2955.88	50.0	25.0	0.336
_similar_to	3	3.33	100.0	0.0	0.371	3.17	100.0	0.0	0.385
_synset_domain_topic_of	114	1676.07	40.79	19.3	0.261	1641.19	46.05	24.56	0.321
_verb_group	39	97.23	92.31	0.0	0.322	96.94	92.31	0.0	0.333
