Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
actedIn	173	59739.72	0.58	0.58	0.006	59735.44	0.58	0.58	0.006
created	49	40801.49	28.57	23.47	0.26	40799.84	28.57	25.51	0.27
dealsWith	7	15889.79	57.14	7.14	0.225	15886.71	71.43	28.57	0.368
diedIn	49	49478.65	16.33	10.2	0.125	49459.33	16.33	11.22	0.131
directed	30	43191.9	28.33	25.0	0.267	43190.73	28.33	26.67	0.275
edited	22	65604.84	0.0	0.0	0.0	65602.02	0.0	0.0	0.0
exports	3	19.17	16.67	0.0	0.068	18.0	16.67	0.0	0.078
graduatedFrom	42	54253.92	11.9	4.76	0.069	54248.6	11.9	4.76	0.073
happenedIn	21	40708.64	47.62	30.95	0.382	40706.76	47.62	40.48	0.429
hasAcademicAdvisor	5	72436.5	0.0	0.0	0.0	72436.0	0.0	0.0	0.0
hasCapital	13	36570.54	38.46	38.46	0.385	36570.04	38.46	38.46	0.385
hasChild	24	42988.58	27.08	22.92	0.25	42988.15	27.08	22.92	0.25
hasGender	297	47577.6	3.54	3.2	0.035	38207.51	4.88	3.54	0.042
hasMusicalRole	36	11967.44	50.0	12.5	0.243	11961.11	50.0	23.61	0.32
hasNeighbor	2	1.75	100.0	75.0	0.813	1.0	100.0	100.0	1.0
hasOfficialLanguage	2	14.0	50.0	0.0	0.185	10.5	75.0	25.0	0.321
hasWebsite	1	7.5	50.0	50.0	0.536	7.5	50.0	50.0	0.536
hasWonPrize	111	61450.02	5.41	0.45	0.021	61431.06	5.41	0.9	0.023
influences	47	61602.82	4.26	3.19	0.035	61597.3	4.26	3.19	0.035
isAffiliatedTo	1673	15829.68	75.25	74.36	0.748	15823.79	75.25	75.1	0.752
isCitizenOf	15	26643.73	20.0	16.67	0.18	26639.63	23.33	16.67	0.181
isConnectedTo	150	20592.37	66.0	61.67	0.638	20584.43	66.0	65.33	0.657
isInterestedIn	2	17.0	50.0	25.0	0.391	9.0	50.0	50.0	0.53
isLeaderOf	4	69762.88	0.0	0.0	0.0	69762.75	0.0	0.0	0.0
isLocatedIn	411	48092.48	13.75	2.8	0.057	48010.84	17.03	3.89	0.077
isMarriedTo	17	1.03	100.0	97.06	0.985	1.0	100.0	100.0	1.0
isPoliticianOf	10	22850.25	45.0	15.0	0.207	22849.25	45.0	30.0	0.33
livesIn	11	29223.82	27.27	13.64	0.169	29222.77	27.27	13.64	0.178
owns	5	40467.4	10.0	0.0	0.033	40466.9	10.0	0.0	0.05
participatedIn	19	29842.13	52.63	28.95	0.355	29837.5	52.63	36.84	0.418
playsFor	1492	7324.87	87.53	86.8	0.872	7324.08	87.53	87.43	0.875
wasBornIn	210	53586.78	3.33	1.9	0.022	53563.81	3.33	1.9	0.022
worksAt	15	38972.03	50.0	26.67	0.334	38968.6	50.0	26.67	0.341
wroteMusicFor	32	63766.75	6.25	6.25	0.063	63763.0	6.25	6.25	0.063
