Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
directed	30	0	0	0	0	3788.28	60.0	41.67	0.479
worksAt	15	0	0	0	0	2589.33	53.33	33.33	0.395
actedIn	173	0	0	0	0	4845.17	16.47	8.67	0.117
livesIn	11	0	0	0	0	8351.5	27.27	4.55	0.134
isCitizenOf	15	0	0	0	0	1156.77	43.33	20.0	0.27
isMarriedTo	17	0	0	0	0	1.09	100.0	91.18	0.956
isPoliticianOf	10	0	0	0	0	52.0	55.0	30.0	0.376
hasNeighbor	2	0	0	0	0	2.25	100.0	25.0	0.563
isInterestedIn	2	0	0	0	0	3.25	100.0	50.0	0.615
wroteMusicFor	32	0	0	0	0	2758.39	31.25	20.31	0.232
hasMusicalRole	36	0	0	0	0	869.39	41.67	18.06	0.257
hasAcademicAdvisor	5	0	0	0	0	331.5	0.0	0.0	0.015
wasBornIn	210	0	0	0	0	8188.45	25.24	8.81	0.143
participatedIn	19	0	0	0	0	2047.53	47.37	23.68	0.32
hasOfficialLanguage	2	0	0	0	0	45.5	50.0	50.0	0.515
influences	47	0	0	0	0	1663.76	23.4	4.26	0.094
hasGender	297	0	0	0	0	5649.29	50.0	46.46	0.481
hasWebsite	1	0	0	0	0	28.5	50.0	50.0	0.509
edited	22	0	0	0	0	1337.45	31.82	11.36	0.176
exports	3	0	0	0	0	185.67	16.67	0.0	0.061
isLocatedIn	411	0	0	0	0	2309.54	48.05	25.43	0.334
dealsWith	7	0	0	0	0	14.0	50.0	28.57	0.394
graduatedFrom	42	0	0	0	0	4135.82	33.33	5.95	0.136
isAffiliatedTo	1673	0	0	0	0	392.81	83.02	64.94	0.715
happenedIn	21	0	0	0	0	434.48	64.29	38.1	0.483
hasChild	24	0	0	0	0	2546.54	35.42	6.25	0.137
hasWonPrize	111	0	0	0	0	1303.2	44.14	15.77	0.249
created	49	0	0	0	0	2320.67	54.08	19.39	0.319
isLeaderOf	4	0	0	0	0	5852.38	25.0	0.0	0.077
hasCapital	13	0	0	0	0	3839.5	57.69	38.46	0.466
isConnectedTo	150	0	0	0	0	64.45	73.33	29.33	0.444
owns	5	0	0	0	0	424.3	40.0	10.0	0.16
playsFor	1492	0	0	0	0	425.33	83.68	52.82	0.639
diedIn	49	0	0	0	0	8154.88	23.47	11.22	0.165
