Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
directed	30	0	0	0	0	363.63	60.0	41.67	0.474
worksAt	15	0	0	0	0	239.6	43.33	20.0	0.272
actedIn	173	0	0	0	0	1333.1	18.21	6.94	0.111
livesIn	11	0	0	0	0	2478.18	36.36	13.64	0.244
isCitizenOf	15	0	0	0	0	2244.0	40.0	23.33	0.286
isMarriedTo	17	0	0	0	0	2.71	97.06	38.24	0.643
isPoliticianOf	10	0	0	0	0	13.1	85.0	55.0	0.687
hasNeighbor	2	0	0	0	0	8.25	50.0	0.0	0.285
isInterestedIn	2	0	0	0	0	10.25	50.0	25.0	0.407
wroteMusicFor	32	0	0	0	0	725.94	25.0	10.94	0.157
hasMusicalRole	36	0	0	0	0	2221.61	41.67	20.83	0.286
hasAcademicAdvisor	5	0	0	0	0	106.1	10.0	10.0	0.124
wasBornIn	210	0	0	0	0	10079.37	29.29	10.48	0.169
participatedIn	19	0	0	0	0	2028.53	52.63	13.16	0.247
hasOfficialLanguage	2	0	0	0	0	22.75	50.0	25.0	0.315
influences	47	0	0	0	0	3085.07	21.28	1.06	0.076
hasGender	297	0	0	0	0	6992.66	30.3	8.08	0.18
hasWebsite	1	0	0	0	0	76.5	50.0	50.0	0.503
edited	22	0	0	0	0	264.0	34.09	11.36	0.173
exports	3	0	0	0	0	44.17	50.0	0.0	0.128
isLocatedIn	411	0	0	0	0	2842.44	48.05	17.15	0.274
dealsWith	7	0	0	0	0	41.86	28.57	0.0	0.136
graduatedFrom	42	0	0	0	0	6973.98	26.19	8.33	0.151
isAffiliatedTo	1673	0	0	0	0	346.64	77.88	51.73	0.607
happenedIn	21	0	0	0	0	63.12	71.43	21.43	0.347
hasChild	24	0	0	0	0	3669.65	52.08	4.17	0.158
hasWonPrize	111	0	0	0	0	694.77	45.5	19.37	0.286
created	49	0	0	0	0	1704.91	42.86	12.24	0.224
isLeaderOf	4	0	0	0	0	21792.25	12.5	0.0	0.019
hasCapital	13	0	0	0	0	8587.27	65.38	11.54	0.3
isConnectedTo	150	0	0	0	0	455.23	62.0	9.0	0.251
owns	5	0	0	0	0	19993.7	30.0	20.0	0.226
playsFor	1492	0	0	0	0	438.24	81.57	40.52	0.547
diedIn	49	0	0	0	0	9362.43	27.55	15.31	0.186
