Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
directed	30	0	0	0	0	1979.33	63.33	43.33	0.501
worksAt	15	0	0	0	0	929.7	56.67	23.33	0.337
actedIn	173	0	0	0	0	2850.53	18.21	8.67	0.119
livesIn	11	0	0	0	0	4623.23	31.82	9.09	0.164
isCitizenOf	15	0	0	0	0	1295.63	50.0	16.67	0.269
isMarriedTo	17	0	0	0	0	1.03	100.0	97.06	0.985
isPoliticianOf	10	0	0	0	0	98.6	50.0	20.0	0.303
hasNeighbor	2	0	0	0	0	1.75	100.0	25.0	0.625
isInterestedIn	2	0	0	0	0	3.0	100.0	75.0	0.778
wroteMusicFor	32	0	0	0	0	898.19	35.94	18.75	0.237
hasMusicalRole	36	0	0	0	0	592.69	43.06	20.83	0.277
hasAcademicAdvisor	5	0	0	0	0	67.9	30.0	0.0	0.097
wasBornIn	210	0	0	0	0	7418.25	32.14	13.81	0.203
participatedIn	19	0	0	0	0	5024.39	55.26	23.68	0.35
hasOfficialLanguage	2	0	0	0	0	12.5	75.0	50.0	0.548
influences	47	0	0	0	0	2209.62	26.6	6.38	0.125
hasGender	297	0	0	0	0	3162.48	49.83	46.3	0.481
hasWebsite	1	0	0	0	0	117.5	0.0	0.0	0.009
edited	22	0	0	0	0	676.66	38.64	15.91	0.229
exports	3	0	0	0	0	46.67	33.33	0.0	0.099
isLocatedIn	411	0	0	0	0	7783.84	42.7	19.46	0.272
dealsWith	7	0	0	0	0	19.79	64.29	0.0	0.196
graduatedFrom	42	0	0	0	0	4013.0	32.14	9.52	0.168
isAffiliatedTo	1673	0	0	0	0	211.87	79.14	56.37	0.643
happenedIn	21	0	0	0	0	665.4	66.67	26.19	0.4
hasChild	24	0	0	0	0	8334.9	37.5	10.42	0.207
hasWonPrize	111	0	0	0	0	2402.62	45.95	17.57	0.274
created	49	0	0	0	0	3053.07	48.98	19.39	0.31
isLeaderOf	4	0	0	0	0	66835.63	12.5	0.0	0.03
hasCapital	13	0	0	0	0	17003.73	61.54	50.0	0.545
isConnectedTo	150	0	0	0	0	118.96	74.0	31.0	0.455
owns	5	0	0	0	0	6375.9	50.0	20.0	0.306
playsFor	1492	0	0	0	0	241.51	83.18	43.77	0.577
diedIn	49	0	0	0	0	8082.97	31.63	13.27	0.195
