Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
directed	30	0	0	0	0	3174.12	58.33	41.67	0.476
worksAt	15	0	0	0	0	1956.0	50.0	26.67	0.347
actedIn	173	0	0	0	0	4455.79	10.12	4.91	0.065
livesIn	11	0	0	0	0	427.05	36.36	13.64	0.249
isCitizenOf	15	0	0	0	0	3685.37	50.0	26.67	0.331
isMarriedTo	17	0	0	0	0	1.03	100.0	97.06	0.985
isPoliticianOf	10	0	0	0	0	6.4	90.0	60.0	0.728
hasNeighbor	2	0	0	0	0	1.5	100.0	50.0	0.75
isInterestedIn	2	0	0	0	0	3.25	100.0	75.0	0.775
wroteMusicFor	32	0	0	0	0	2352.47	28.13	15.63	0.204
hasMusicalRole	36	0	0	0	0	1213.0	43.06	22.22	0.293
hasAcademicAdvisor	5	0	0	0	0	446.0	20.0	0.0	0.037
wasBornIn	210	0	0	0	0	16536.61	23.33	9.05	0.14
participatedIn	19	0	0	0	0	1343.16	63.16	18.42	0.316
hasOfficialLanguage	2	0	0	0	0	6.0	75.0	50.0	0.596
influences	47	0	0	0	0	1616.09	28.72	6.38	0.135
hasGender	297	0	0	0	0	4078.37	50.0	46.63	0.484
hasWebsite	1	0	0	0	0	93.0	50.0	0.0	0.253
edited	22	0	0	0	0	2335.36	34.09	20.45	0.251
exports	3	0	0	0	0	35.83	33.33	0.0	0.136
isLocatedIn	411	0	0	0	0	2912.91	52.31	25.43	0.351
dealsWith	7	0	0	0	0	14.43	64.29	21.43	0.333
graduatedFrom	42	0	0	0	0	9027.13	33.33	8.33	0.156
isAffiliatedTo	1673	0	0	0	0	854.71	77.05	52.96	0.615
happenedIn	21	0	0	0	0	689.36	73.81	33.33	0.483
hasChild	24	0	0	0	0	1126.46	52.08	8.33	0.225
hasWonPrize	111	0	0	0	0	5233.79	43.69	18.02	0.267
created	49	0	0	0	0	3995.92	53.06	22.45	0.331
isLeaderOf	4	0	0	0	0	31932.63	25.0	0.0	0.095
hasCapital	13	0	0	0	0	7936.88	73.08	50.0	0.555
isConnectedTo	150	0	0	0	0	107.74	70.67	20.0	0.366
owns	5	0	0	0	0	264.5	50.0	20.0	0.31
playsFor	1492	0	0	0	0	582.04	80.86	48.36	0.598
diedIn	49	0	0	0	0	12531.93	22.45	8.16	0.128
