Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency	46	258.38	50.0	46.74	48.29	51.6	64.13	46.74	52.78
/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type	22	270.86	50.0	47.73	48.98	147.23	50.0	47.73	49.32
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	91	1463.13	6.59	0.55	2.62	1458.36	10.44	2.2	4.61
/influence/influence_node/influenced_by	235	491.7	7.45	0.64	3.65	482.97	18.09	3.19	7.89
/organization/organization_member/member_of./organization/organization_membership/organization	96	132.03	47.92	3.65	15.46	85.51	80.73	42.19	55.16
/sports/sports_position/players./sports/sports_team_roster/team	22	127.11	43.18	0.0	11.42	28.27	61.36	18.18	34.11
/location/hud_county_place/county	7	1308.29	7.14	0.0	3.41	1307.36	7.14	0.0	3.43
/sports/sports_team/roster./american_football/football_roster_position/position	3	29.33	16.67	0.0	6.96	11.0	83.33	16.67	32.64
/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team	41	17.29	14.63	0.0	7.15	4.21	96.34	14.63	38.29
/music/artist/origin	34	1553.07	5.88	0.0	2.36	1546.75	5.88	0.0	2.49
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician	11	792.59	22.73	13.64	15.69	780.59	31.82	18.18	20.43
/music/artist/track_contributions./music/track_contribution/role	152	244.72	8.88	0.33	3.72	209.81	19.08	3.29	8.6
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office	9	1861.28	16.67	0.0	5.81	1855.17	22.22	5.56	11.79
/military/military_conflict/combatants./military/military_combatant_group/combatants	34	329.93	39.71	1.47	12.94	322.44	61.76	17.65	29.59
/broadcast/content/artist	14	189.18	46.43	28.57	35.5	166.93	50.0	39.29	43.43
/film/film/production_companies	84	402.93	19.05	0.6	6.58	385.1	22.02	7.74	12.79
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members	3	6.5	83.33	0.0	22.66	1.5	100.0	66.67	80.56
/people/person/spouse_s./people/marriage/type_of_union	346	1676.14	46.68	28.03	36.19	411.61	47.11	31.65	38.63
/film/actor/dubbing_performances./film/dubbing_performance/language	12	649.33	41.67	37.5	39.84	589.33	50.0	41.67	46.08
/film/film/film_production_design_by	10	909.45	20.0	10.0	11.91	905.35	20.0	10.0	12.11
/education/educational_degree/people_with_this_degree./education/education/student	27	814.39	25.93	3.7	10.14	780.19	25.93	5.56	12.65
/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to	13	145.85	23.08	0.0	5.82	141.23	34.62	0.0	13.41
/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program	11	747.32	31.82	13.64	21.37	735.95	31.82	22.73	26.32
/location/country/form_of_government	43	149.81	50.0	6.98	21.27	117.48	55.81	24.42	36.41
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category	20	66.67	50.0	12.5	30.0	30.15	62.5	37.5	47.36
/organization/organization/headquarters./location/mailing_address/citytown	55	1866.89	10.91	0.0	3.77	1855.46	12.73	0.0	4.28
/organization/organization_founder/organizations_founded	9	2598.11	5.56	0.0	1.53	2597.44	5.56	0.0	1.71
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season	27	15.2	44.44	0.0	10.35	1.94	100.0	59.26	74.86
/education/educational_institution/colors	90	365.02	24.44	0.0	7.21	319.16	26.67	4.44	11.61
/people/person/sibling_s./people/sibling_relationship/sibling	7	3315.21	0.0	0.0	1.07	3314.79	0.0	0.0	1.1
/film/director/film	19	1346.47	10.53	2.63	5.15	1342.87	10.53	2.63	5.28
/people/person/nationality	494	1430.27	32.59	6.78	15.05	543.86	35.63	7.69	16.89
/education/educational_institution/students_graduates./education/education/student	311	2262.25	3.38	0.48	1.66	2250.31	4.02	1.61	2.62
/soccer/football_player/current_team./sports/sports_team_roster/team	9	108.0	16.67	5.56	8.33	103.67	16.67	5.56	8.9
/award/award_winner/awards_won./award/award_honor/award_winner	41	276.07	30.49	0.0	8.38	269.82	57.32	7.32	22.3
/business/business_operation/revenue./measurement_unit/dated_money_value/currency	1	154.0	50.0	50.0	50.16	47.0	50.0	50.0	50.54
/user/alexander/philosophy/philosopher/interests	9	20.28	50.0	0.0	9.57	14.5	66.67	5.56	18.35
/music/genre/parent_genre	97	392.19	18.04	0.52	5.73	383.13	23.2	3.09	10.73
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics	8	16.44	31.25	6.25	13.92	4.69	81.25	25.0	46.37
/film/special_film_performance_type/film_performance_type./film/performance/film	11	1136.73	31.82	18.18	22.98	1119.41	36.36	18.18	23.54
/common/topic/webpage./common/webpage/category	402	3318.98	49.25	44.15	46.31	1320.63	50.37	44.15	46.78
/soccer/football_team/current_roster./sports/sports_team_roster/position	12	330.67	50.0	0.0	13.41	52.54	50.0	29.17	40.15
/people/person/places_lived./people/place_lived/location	305	2305.73	1.8	0.16	0.89	2270.71	2.13	0.33	1.1
/sports/sports_team_location/teams	53	2416.37	0.94	0.0	0.7	2415.93	0.94	0.0	0.7
/music/group_member/membership./music/group_membership/group	22	214.59	31.82	6.82	12.59	212.14	36.36	9.09	15.02
/people/person/languages	98	718.36	34.18	7.14	15.22	559.52	37.76	10.71	19.67
/time/event/instance_of_recurring_event	11	2653.14	40.91	40.91	42.41	2638.5	81.82	81.82	81.82
/business/business_operation/industry	41	441.23	26.83	2.44	11.97	424.46	35.37	15.85	21.59
/film/film/film_art_direction_by	3	22.0	50.0	33.33	43.55	17.0	66.67	33.33	46.58
/film/film_set_designer/film_sets_designed	8	164.0	25.0	12.5	16.21	159.69	25.0	12.5	16.82
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics	63	35.21	21.43	3.17	9.55	12.11	65.87	9.52	27.21
/film/film/cinematography	17	813.35	14.71	0.0	3.62	808.5	14.71	0.0	3.64
/people/cause_of_death/people	94	2004.47	7.45	1.06	3.34	1980.88	7.45	1.06	3.4
/government/politician/government_positions_held./government/government_position_held/legislative_sessions	30	11.47	51.67	1.67	15.44	2.85	93.33	56.67	71.01
/film/film/other_crew./film/film_crew_gig/film_crew_role	606	439.5	26.98	0.17	6.37	146.09	43.48	8.17	18.99
/film/film/prequel	18	966.33	38.89	0.0	10.64	966.17	38.89	0.0	11.09
/film/film/country	131	606.47	29.39	10.31	16.79	288.21	31.68	14.5	20.3
/base/aareas/schema/administrative_area/administrative_area_type	20	83.88	50.0	50.0	50.34	2.35	97.5	75.0	81.35
/film/film/release_date_s./film/film_regional_release_date/film_release_region	1447	176.97	4.28	1.07	3.35	37.83	44.09	6.36	17.72
/music/genre/artists	664	269.3	12.2	0.68	4.67	213.42	27.79	6.85	14.16
/location/location/time_zones	137	556.59	37.96	22.26	27.71	405.1	44.16	22.63	29.59
/people/ethnicity/people	251	997.04	17.93	4.78	9.45	929.25	20.52	6.37	11.32
/tv/tv_program/languages	24	126.67	50.0	39.58	43.01	11.31	87.5	41.67	56.83
/dataworld/gardening_hint/split_to	10	3430.05	50.0	30.0	37.44	3430.0	50.0	30.0	37.56
/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal	16	17.38	53.13	12.5	28.59	1.0	100.0	100.0	100.0
/award/award_category/nominees./award/award_nomination/nominated_for	858	209.3	10.9	0.17	3.96	148.09	32.58	4.31	13.12
/tv/tv_network/programs./tv/tv_network_duration/program	26	382.73	25.0	3.85	12.85	374.5	26.92	5.77	14.65
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal	38	43.17	55.26	11.84	29.4	6.11	88.16	63.16	70.65
/people/deceased_person/place_of_burial	9	981.22	22.22	0.0	5.67	971.06	22.22	0.0	5.68
/olympics/olympic_games/participating_countries	23	54.11	41.3	8.7	19.07	18.22	56.52	15.22	30.1
/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program	9	838.06	16.67	5.56	7.74	830.28	16.67	11.11	12.41
/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	31	1200.65	0.0	0.0	1.08	1193.05	4.84	0.0	1.21
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	214	110.51	14.49	0.0	5.3	97.95	57.24	1.17	16.04
/location/administrative_division/country	3	699.17	16.67	0.0	3.31	672.83	16.67	0.0	3.32
/music/artist/contribution./music/recording_contribution/performance_role	14	624.36	17.86	3.57	8.16	613.5	21.43	7.14	12.06
/medicine/disease/notable_people_with_this_condition	15	1848.93	10.0	3.33	6.17	1842.17	10.0	3.33	6.24
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	63	37.02	38.1	2.38	11.01	15.76	73.02	17.46	33.83
/sports/pro_athlete/teams./sports/sports_team_roster/team	16	69.5	37.5	6.25	17.22	66.25	43.75	9.38	22.31
/government/politician/government_positions_held./government/government_position_held/basic_title	16	56.19	40.63	0.0	16.15	45.41	56.25	15.63	31.91
/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months	3	9.0	50.0	0.0	12.22	2.5	100.0	16.67	48.61
/sports/sports_team/roster./basketball/basketball_roster_position/position	2	27.0	50.0	0.0	13.51	8.75	50.0	0.0	22.24
/tv/tv_program/country_of_origin	32	222.58	46.88	35.94	39.92	134.13	56.25	37.5	44.87
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium	38	125.95	46.05	15.79	27.5	79.8	64.47	36.84	46.06
/people/person/gender	436	1494.62	49.43	39.11	44.11	154.07	54.93	39.33	46.27
/film/actor/film./film/performance/special_performance_type	16	984.72	21.88	6.25	12.6	929.53	21.88	6.25	12.61
/education/educational_institution_campus/educational_institution	13	1.15	100.0	92.31	94.87	1.15	100.0	92.31	94.87
/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee	27	855.46	38.89	27.78	31.92	826.87	42.59	27.78	33.74
/music/record_label/artist	266	656.96	9.96	0.0	3.06	628.48	14.1	1.13	5.45
/award/award_nominee/award_nominations./award/award_nomination/award	1067	333.15	12.89	0.75	4.89	290.16	28.16	3.7	11.34
/base/aareas/schema/administrative_area/administrative_parent	25	660.22	46.0	36.0	40.3	600.5	84.0	48.0	57.11
/tv/tv_program/program_creator	2	5139.0	0.0	0.0	0.02	5139.0	0.0	0.0	0.02
/music/performance_role/regular_performances./music/group_membership/group	167	66.55	19.76	1.2	7.1	21.93	55.69	12.28	25.72
/people/ethnicity/geographic_distribution	17	136.12	41.18	20.59	28.42	129.71	55.88	26.47	34.16
/music/performance_role/track_performances./music/track_contribution/role	53	63.18	1.89	0.0	2.14	22.11	23.58	0.94	9.39
/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person	7	2132.21	35.71	14.29	21.87	2118.43	35.71	28.57	31.19
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language	21	43.36	54.76	23.81	32.92	6.05	80.95	47.62	58.48
/award/award_winning_work/awards_won./award/award_honor/honored_for	10	197.85	10.0	0.0	6.33	186.8	90.0	5.0	31.09
