Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency	46	270.63	50.0	50.0	50.1	62.08	50.0	50.0	51.11
/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type	22	204.91	50.0	50.0	50.15	84.98	56.82	50.0	52.84
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	91	727.43	14.84	2.2	7.38	722.54	22.53	7.14	13.06
/influence/influence_node/influenced_by	235	151.68	13.19	0.43	4.97	142.84	28.3	3.83	11.62
/organization/organization_member/member_of./organization/organization_membership/organization	96	103.18	47.4	3.13	16.05	54.99	81.25	47.4	58.82
/sports/sports_position/players./sports/sports_team_roster/team	22	132.14	43.18	0.0	11.0	33.32	68.18	22.73	35.85
/location/hud_county_place/county	7	50.5	50.0	7.14	18.28	49.57	50.0	7.14	19.94
/sports/sports_team/roster./american_football/football_roster_position/position	3	36.5	0.0	0.0	4.6	16.0	66.67	0.0	19.97
/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team	41	20.01	2.44	0.0	5.41	4.29	92.68	18.29	41.36
/music/artist/origin	34	817.93	22.06	0.0	6.58	811.63	25.0	1.47	8.06
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician	11	580.45	45.45	27.27	35.88	567.77	63.64	27.27	39.64
/music/artist/track_contributions./music/track_contribution/role	152	129.12	18.75	1.32	6.27	94.62	35.86	6.25	15.43
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office	9	319.28	27.78	11.11	15.72	312.78	38.89	11.11	18.75
/military/military_conflict/combatants./military/military_combatant_group/combatants	34	210.82	32.35	0.0	10.71	202.32	64.71	13.24	28.93
/broadcast/content/artist	14	119.64	50.0	32.14	39.44	96.46	60.71	46.43	52.36
/film/film/production_companies	84	154.93	36.31	1.79	14.16	137.08	52.38	12.5	27.22
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members	3	10.83	33.33	0.0	9.33	2.83	100.0	0.0	37.5
/people/person/spouse_s./people/marriage/type_of_union	346	1584.42	49.86	41.33	45.57	330.65	50.43	46.97	48.71
/film/actor/dubbing_performances./film/dubbing_performance/language	12	584.25	50.0	50.0	50.16	524.0	54.17	54.17	54.55
/film/film/film_production_design_by	10	152.0	50.0	15.0	26.3	147.9	55.0	20.0	31.47
/education/educational_degree/people_with_this_degree./education/education/student	27	335.43	46.3	22.22	30.16	302.44	48.15	27.78	35.18
/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to	13	120.65	30.77	3.85	11.17	116.15	46.15	7.69	18.17
/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program	11	219.36	40.91	31.82	36.64	207.86	54.55	40.91	48.02
/location/country/form_of_government	43	62.33	50.0	4.65	21.76	28.48	59.3	33.72	43.51
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category	20	362.73	45.0	17.5	31.01	323.7	52.5	40.0	46.17
/organization/organization/headquarters./location/mailing_address/citytown	55	583.75	30.0	10.0	16.39	572.32	31.82	10.91	17.51
/organization/organization_founder/organizations_founded	9	1195.11	22.22	5.56	12.53	1194.39	22.22	16.67	19.08
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season	27	17.3	40.74	0.0	8.94	1.76	96.3	83.33	88.89
/education/educational_institution/colors	90	210.51	38.33	1.11	12.17	164.45	45.0	11.11	20.9
/people/person/sibling_s./people/sibling_relationship/sibling	7	910.21	35.71	0.0	6.66	909.64	35.71	0.0	7.6
/film/director/film	19	627.21	31.58	5.26	13.01	623.74	39.47	5.26	13.73
/people/person/nationality	494	1083.15	47.06	33.1	38.37	220.06	51.92	37.55	42.77
/education/educational_institution/students_graduates./education/education/student	311	834.23	13.02	1.45	5.34	822.22	14.79	3.22	7.19
/soccer/football_player/current_team./sports/sports_team_roster/team	9	122.17	0.0	0.0	2.75	117.89	0.0	0.0	2.99
/award/award_winner/awards_won./award/award_honor/award_winner	41	149.72	23.17	1.22	7.75	143.21	54.88	3.66	15.6
/business/business_operation/revenue./measurement_unit/dated_money_value/currency	1	137.0	50.0	50.0	50.18	30.5	50.0	50.0	50.83
/user/alexander/philosophy/philosopher/interests	9	20.61	50.0	0.0	10.09	14.89	61.11	5.56	21.84
/music/genre/parent_genre	97	87.56	33.51	1.55	10.9	78.32	47.94	10.82	23.17
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics	8	21.06	18.75	0.0	7.64	4.63	87.5	31.25	48.08
/film/special_film_performance_type/film_performance_type./film/performance/film	11	418.09	50.0	36.36	43.67	401.18	59.09	40.91	49.76
/common/topic/webpage./common/webpage/category	402	3233.65	50.0	50.0	50.01	1244.77	50.62	50.12	50.32
/soccer/football_team/current_roster./sports/sports_team_roster/position	12	353.54	50.0	0.0	13.4	75.29	50.0	29.17	39.94
/people/person/places_lived./people/place_lived/location	305	1147.71	14.92	1.8	6.28	1112.65	16.72	3.28	7.86
/sports/sports_team_location/teams	53	731.38	5.66	1.89	3.28	730.9	5.66	1.89	3.28
/music/group_member/membership./music/group_membership/group	22	41.45	50.0	11.36	23.01	39.16	56.82	20.45	30.32
/people/person/languages	98	518.08	46.43	25.51	32.83	359.17	53.06	33.67	40.47
/time/event/instance_of_recurring_event	11	1347.95	40.91	40.91	42.04	1329.05	81.82	81.82	81.82
/business/business_operation/industry	41	140.48	43.9	9.76	23.04	123.43	53.66	29.27	38.39
/film/film/film_art_direction_by	3	7.5	50.0	50.0	53.62	2.5	100.0	50.0	63.06
/film/film_set_designer/film_sets_designed	8	60.69	50.0	6.25	14.35	56.44	56.25	6.25	17.27
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics	63	36.35	12.7	0.0	5.6	10.48	72.22	7.14	26.23
/film/film/cinematography	17	282.74	41.18	17.65	24.78	277.94	41.18	17.65	26.2
/people/cause_of_death/people	94	750.27	23.94	4.26	10.59	727.16	25.0	5.85	12.13
/government/politician/government_positions_held./government/government_position_held/legislative_sessions	30	12.93	41.67	0.0	12.96	2.23	96.67	70.0	80.64
/film/film/other_crew./film/film_crew_gig/film_crew_role	606	418.1	40.26	0.74	9.2	129.1	52.56	25.17	34.72
/film/film/prequel	18	51.75	50.0	2.78	14.93	51.58	50.0	2.78	15.81
/film/film/country	131	531.63	43.13	17.18	26.19	224.95	46.56	29.01	35.17
/base/aareas/schema/administrative_area/administrative_area_type	20	84.38	50.0	50.0	50.3	1.85	100.0	67.5	78.08
/film/film/release_date_s./film/film_regional_release_date/film_release_region	1447	170.38	2.14	0.86	2.85	31.65	56.57	14.13	27.81
/music/genre/artists	664	154.21	20.33	0.68	6.22	97.74	43.9	16.11	25.6
/location/location/time_zones	137	259.47	49.64	39.05	43.57	107.73	57.3	41.24	47.45
/people/ethnicity/people	251	575.28	36.25	15.14	22.76	508.01	41.04	19.12	26.88
/tv/tv_program/languages	24	100.73	52.08	43.75	46.78	6.67	97.92	54.17	65.68
/dataworld/gardening_hint/split_to	10	4024.7	0.0	0.0	0.28	4024.35	0.0	0.0	0.28
/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal	16	20.94	50.0	0.0	21.08	1.0	100.0	100.0	100.0
/award/award_category/nominees./award/award_nomination/nominated_for	858	147.08	15.97	0.17	4.97	87.0	46.85	8.45	20.34
/tv/tv_network/programs./tv/tv_network_duration/program	26	105.71	48.08	7.69	17.08	97.56	50.0	13.46	22.09
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal	38	52.71	50.0	0.0	19.83	7.63	85.53	59.21	69.19
/people/deceased_person/place_of_burial	9	270.0	50.0	5.56	20.45	260.22	50.0	5.56	20.48
/olympics/olympic_games/participating_countries	23	53.78	50.0	13.04	24.8	18.54	63.04	28.26	40.27
/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program	9	490.39	22.22	0.0	10.95	482.67	27.78	11.11	18.46
/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	31	312.13	12.9	3.23	6.56	304.73	16.13	3.23	7.47
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	214	137.39	16.59	0.0	5.93	124.61	68.46	1.4	18.16
/location/administrative_division/country	3	298.0	33.33	16.67	25.26	271.83	33.33	16.67	25.54
/music/artist/contribution./music/recording_contribution/performance_role	14	262.18	42.86	7.14	17.31	251.57	42.86	17.86	27.38
/medicine/disease/notable_people_with_this_condition	15	863.2	36.67	13.33	20.73	856.43	36.67	16.67	22.45
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	63	36.6	41.27	0.0	8.98	12.48	78.57	31.75	46.63
/sports/pro_athlete/teams./sports/sports_team_roster/team	16	71.78	34.38	3.13	13.17	68.56	37.5	6.25	16.36
/government/politician/government_positions_held./government/government_position_held/basic_title	16	25.09	50.0	9.38	23.26	13.44	71.88	37.5	45.51
/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months	3	11.5	0.0	0.0	8.71	2.83	100.0	0.0	37.5
/sports/sports_team/roster./basketball/basketball_roster_position/position	2	24.25	50.0	0.0	19.86	6.0	75.0	25.0	42.36
/tv/tv_program/country_of_origin	32	162.95	51.56	35.94	41.68	75.45	60.94	37.5	46.06
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium	38	91.68	51.32	18.42	29.96	46.59	78.95	39.47	53.17
/people/person/gender	436	1499.51	50.0	44.61	47.31	167.2	61.93	48.05	53.41
/film/actor/film./film/performance/special_performance_type	16	481.31	50.0	43.75	47.09	425.97	53.13	50.0	52.0
