Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency	46	266.15	50.0	50.0	50.1	58.12	55.43	51.09	53.34
/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type	22	504.84	45.45	43.18	44.56	380.68	47.73	43.18	45.26
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	91	1022.33	8.79	0.55	3.16	1017.54	13.19	2.75	5.87
/influence/influence_node/influenced_by	235	344.46	5.53	0.0	2.77	335.68	11.28	1.7	5.03
/organization/organization_member/member_of./organization/organization_membership/organization	96	115.92	47.92	3.13	14.97	68.89	76.56	39.06	53.21
/sports/sports_position/players./sports/sports_team_roster/team	22	130.77	43.18	2.27	12.57	32.34	68.18	22.73	37.9
/location/hud_county_place/county	7	397.5	7.14	0.0	2.04	396.57	7.14	0.0	2.04
/sports/sports_team/roster./american_football/football_roster_position/position	3	26.33	16.67	0.0	8.05	8.67	83.33	33.33	42.35
/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team	41	17.95	8.54	0.0	6.51	4.57	96.34	8.54	32.28
/music/artist/origin	34	1902.88	4.41	0.0	1.61	1896.59	4.41	0.0	1.91
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician	11	991.0	31.82	13.64	20.63	978.45	40.91	13.64	23.81
/music/artist/track_contributions./music/track_contribution/role	152	174.72	11.84	0.66	4.77	140.28	20.72	3.29	9.67
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office	9	1545.28	11.11	0.0	3.27	1538.78	22.22	0.0	5.24
/military/military_conflict/combatants./military/military_combatant_group/combatants	34	338.76	25.0	1.47	9.06	330.37	54.41	5.88	18.84
/broadcast/content/artist	14	115.89	50.0	21.43	32.28	93.18	60.71	28.57	39.12
/film/film/production_companies	84	294.09	25.6	2.98	11.28	276.21	32.74	8.93	17.57
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members	3	5.0	100.0	0.0	22.22	1.5	100.0	50.0	75.0
/people/person/spouse_s./people/marriage/type_of_union	346	1636.59	48.84	29.19	37.86	369.03	49.57	33.09	40.56
/film/actor/dubbing_performances./film/dubbing_performance/language	12	1864.67	37.5	25.0	29.93	1803.58	37.5	25.0	30.15
/film/film/film_production_design_by	10	832.95	15.0	0.0	5.52	828.8	15.0	0.0	5.54
/education/educational_degree/people_with_this_degree./education/education/student	27	691.83	33.33	3.7	9.81	656.98	35.19	3.7	11.37
/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to	13	113.15	11.54	0.0	7.14	108.77	26.92	7.69	12.42
/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program	11	161.91	40.91	22.73	30.03	150.59	50.0	31.82	37.24
/location/country/form_of_government	43	99.2	50.0	8.14	23.59	67.74	53.49	32.56	43.04
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category	20	67.95	50.0	10.0	28.69	30.77	70.0	35.0	47.81
/organization/organization/headquarters./location/mailing_address/citytown	55	1223.25	7.27	1.82	3.92	1211.88	7.27	1.82	4.34
/organization/organization_founder/organizations_founded	9	3296.11	11.11	0.0	3.57	3295.39	11.11	0.0	4.96
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season	27	15.3	40.74	0.0	10.01	2.35	98.15	46.3	67.43
/education/educational_institution/colors	90	251.31	27.22	0.56	7.79	205.02	31.11	3.89	11.66
/people/person/sibling_s./people/sibling_relationship/sibling	7	2344.21	14.29	0.0	6.4	2343.79	14.29	7.14	9.98
/film/director/film	19	1629.82	5.26	5.26	6.16	1626.34	7.89	5.26	6.91
/people/person/nationality	494	1333.46	33.91	9.51	17.21	447.16	37.35	10.12	19.06
/education/educational_institution/students_graduates./education/education/student	311	1791.23	3.22	0.32	1.5	1779.36	3.7	0.48	1.83
/soccer/football_player/current_team./sports/sports_team_roster/team	9	164.61	0.0	0.0	1.64	160.33	0.0	0.0	1.78
/award/award_winner/awards_won./award/award_honor/award_winner	41	449.29	24.39	0.0	7.66	442.93	63.41	6.1	20.81
/business/business_operation/revenue./measurement_unit/dated_money_value/currency	1	144.5	50.0	50.0	50.17	38.0	50.0	50.0	50.67
/user/alexander/philosophy/philosopher/interests	9	29.39	38.89	0.0	10.83	23.89	50.0	5.56	22.03
/music/genre/parent_genre	97	158.94	20.1	0.0	5.87	149.7	28.35	1.03	10.12
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics	8	12.56	50.0	18.75	27.68	2.13	100.0	50.0	68.81
