Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency	46	224.68	50.0	45.65	47.79	39.3	53.26	45.65	49.71
/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type	22	257.41	50.0	50.0	50.35	181.55	54.55	50.0	51.84
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	91	383.93	18.68	3.85	8.8	379.71	21.43	6.04	11.21
/influence/influence_node/influenced_by	235	347.48	16.38	0.0	5.67	341.16	21.91	0.0	7.69
/organization/organization_member/member_of./organization/organization_membership/organization	96	81.77	50.0	7.81	20.97	49.59	76.04	39.06	52.39
/sports/sports_position/players./sports/sports_team_roster/team	22	120.91	52.27	6.82	19.45	31.73	54.55	22.73	35.28
/location/hud_county_place/county	7	82.64	42.86	21.43	27.19	82.0	42.86	28.57	30.77
/sports/sports_team/roster./american_football/football_roster_position/position	3	22.83	33.33	0.0	8.97	9.67	66.67	16.67	32.21
/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team	41	15.3	29.27	2.44	12.43	4.78	93.9	18.29	37.83
/music/artist/origin	34	365.22	19.12	1.47	5.37	359.81	19.12	1.47	5.52
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician	11	967.05	36.36	13.64	22.24	957.09	40.91	13.64	24.17
/music/artist/track_contributions./music/track_contribution/role	152	98.87	25.99	4.28	11.29	77.59	34.54	6.91	15.79
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office	9	361.56	27.78	5.56	15.05	359.94	33.33	11.11	20.26
/military/military_conflict/combatants./military/military_combatant_group/combatants	34	66.57	26.47	1.47	11.01	60.4	30.88	4.41	14.27
/broadcast/content/artist	14	117.21	50.0	28.57	38.2	98.43	53.57	32.14	42.43
/film/film/production_companies	84	226.23	32.14	6.55	14.22	211.21	32.14	8.33	16.38
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members	3	12.33	50.0	0.0	9.72	7.17	66.67	0.0	18.21
/people/person/spouse_s./people/marriage/type_of_union	346	1545.25	49.57	28.61	38.99	312.11	50.72	32.23	41.39
