_also_see	56	1088.54	66.07	0.0	0.194	1087.26	66.96	0.0	0.247	2556.26	69.64	8.04	0.272	2555.11	71.43	10.71	0.337	2381.23	69.64	16.07	0.336	2380.02	69.64	27.68	0.445	3859.7	68.75	16.96	0.371	3858.11	69.64	64.29	0.658	1073.39	70.54	17.86	0.378	1072.06	72.32	58.04	0.627	5650.45	35.71	7.14	0.185	5649.09	35.71	28.57	0.313	5343.17	67.86	67.86	0.679	5343.06	67.86	67.86	0.679
_derivationally_related_form	1074	118.16	90.46	0.0	0.294	116.74	94.69	0.0	0.386	282.24	95.58	34.26	0.56	280.86	97.02	76.91	0.853	197.92	96.18	35.85	0.575	196.54	96.93	85.43	0.904	447.23	95.9	28.54	0.522	445.5	96.42	94.13	0.949	134.87	96.51	33.24	0.565	133.41	97.07	94.97	0.957	350.88	95.86	28.91	0.526	349.17	96.37	95.3	0.958	1217.14	94.13	94.13	0.941	1217.08	94.13	94.13	0.941
_has_part	172	1445.07	23.84	0.58	0.069	1440.82	26.45	2.33	0.095	3901.61	13.66	1.74	0.062	3897.42	15.41	4.36	0.085	3773.9	17.15	1.45	0.068	3769.72	19.19	3.49	0.089	5894.06	21.22	3.2	0.084	5889.44	25.29	7.85	0.13	2146.9	34.88	5.52	0.139	2142.69	40.12	11.34	0.207	7003.7	22.67	4.65	0.102	6999.38	26.74	10.76	0.164	20266.21	0.0	0.0	0.0	20264.04	0.0	0.0	0.0
_hypernym	1251	5188.79	16.91	4.4	0.082	5171.32	20.42	5.36	0.099	6961.58	16.07	6.59	0.097	6943.32	17.55	6.79	0.102	6902.11	15.71	6.83	0.099	6883.82	17.07	7.19	0.106	9623.46	13.83	3.24	0.066	9604.86	17.11	3.84	0.081	6862.03	22.38	7.11	0.122	6844.07	28.26	9.55	0.158	12792.03	13.59	7.31	0.095	12774.05	18.19	9.79	0.127	20496.98	0.08	0.08	0.001	20487.29	0.08	0.08	0.001
_instance_hypernym	122	945.16	40.57	11.48	0.211	884.09	47.54	20.9	0.297	3303.25	34.02	7.38	0.167	3241.75	34.43	11.07	0.192	3880.21	32.79	7.79	0.169	3814.84	33.2	13.52	0.207	2174.51	40.98	15.16	0.243	2108.29	49.18	23.36	0.317	3034.16	42.21	10.25	0.21	2969.57	54.51	20.9	0.321	4848.87	39.34	15.98	0.244	4784.09	49.18	29.1	0.361	17207.91	14.75	14.75	0.148	17183.15	14.75	14.75	0.148
_member_meronym	253	697.15	27.08	4.94	0.123	691.64	29.84	6.13	0.143	2084.17	11.86	0.4	0.044	2078.45	12.45	0.4	0.048	2360.33	14.43	2.77	0.071	2354.72	16.6	3.36	0.084	3067.89	28.06	6.32	0.132	3061.94	31.62	7.31	0.15	1303.75	36.56	12.85	0.207	1298.0	43.28	16.6	0.253	1886.27	26.48	8.89	0.153	1880.5	31.62	12.45	0.191	20939.41	1.98	1.98	0.021	20937.17	1.98	1.98	0.021
_member_of_domain_region	26	3120.48	19.23	7.69	0.12	2978.35	19.23	7.69	0.123	12728.79	19.23	0.0	0.055	12584.27	21.15	1.92	0.065	7992.62	17.31	3.85	0.089	7856.65	17.31	7.69	0.11	6976.23	46.15	26.92	0.322	6831.62	46.15	26.92	0.336	6787.67	28.85	13.46	0.183	6645.35	34.62	15.38	0.211	16685.96	21.15	7.69	0.117	16543.0	21.15	9.62	0.137	20820.98	3.85	3.85	0.039	20747.12	3.85	3.85	0.039
_member_of_domain_usage	24	3011.38	39.58	25.0	0.305	2955.88	50.0	25.0	0.336	10259.0	37.5	20.83	0.267	10193.85	37.5	20.83	0.267	9471.73	35.42	16.67	0.23	9406.83	35.42	16.67	0.23	4877.9	41.67	25.0	0.302	4812.4	43.75	25.0	0.305	4418.29	35.42	27.08	0.295	4354.38	35.42	27.08	0.301	7969.06	33.33	18.75	0.231	7905.13	37.5	20.83	0.261	21000.85	0.0	0.0	0.0	20969.54	0.0	0.0	0.0
_similar_to	3	3.33	100.0	0.0	0.371	3.17	100.0	0.0	0.385	8.67	66.67	0.0	0.199	8.5	66.67	0.0	0.199	2.67	100.0	50.0	0.635	2.5	100.0	50.0	0.639	1.17	100.0	83.33	0.917	1.0	100.0	100.0	1.0	1.17	100.0	83.33	0.917	1.0	100.0	100.0	1.0	1.17	100.0	83.33	0.917	1.0	100.0	100.0	1.0	1.0	100.0	100.0	1.0	1.0	100.0	100.0	1.0
_synset_domain_topic_of	114	1676.07	40.79	19.3	0.261	1641.19	46.05	24.56	0.321	4990.97	28.95	11.4	0.177	4948.66	28.95	11.84	0.181	5570.48	29.39	13.16	0.191	5528.15	29.82	14.91	0.201	5285.6	33.77	15.79	0.226	5242.63	39.47	20.18	0.274	3779.53	39.47	21.05	0.267	3737.94	49.12	28.07	0.35	9500.98	34.21	20.61	0.25	9458.85	43.86	28.51	0.34	19389.69	1.75	1.75	0.018	19368.15	1.75	1.75	0.018
_verb_group	39	97.23	92.31	0.0	0.322	96.94	92.31	0.0	0.333	15.27	97.44	17.95	0.503	14.96	97.44	17.95	0.535	16.86	97.44	28.21	0.572	16.59	97.44	32.05	0.613	34.26	97.44	70.51	0.833	33.92	97.44	97.44	0.974	46.08	97.44	73.08	0.843	45.77	97.44	93.59	0.956	11.13	97.44	70.51	0.833	10.79	97.44	97.44	0.974	282.6	97.44	97.44	0.974	282.59	97.44	97.44	0.974
